sample_id,year,month,day,date,time,latitude,longitude,station_num,station_depth,sampling_depth,group,species,group_species,count
1,2001,Dec,1,01/12/2001,,,,ST1,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,52
,,,,,,,,,,,,,,
2,2001,Dec,1,01/12/2001,,,,ST1,,1,Dinoflagellate,Gyrodinium,DF-Gyrodinium,113
3,2001,Dec,1,01/12/2001,,,,ST1,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,113
4,2001,Dec,1,01/12/2001,,,,ST2,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,132
5,2001,Dec,1,01/12/2001,,,,ST2,,1,Diatom,Navicula  spp.,D-Navicula  spp.,658
6,2001,Dec,1,01/12/2001,,,,ST2,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,132
7,2001,Dec,1,01/12/2001,,,,ST2,,1,Diatom,Skeletonema,D-Skeletonema,132
8,2001,Dec,1,01/12/2001,,,,ST2,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,395
9,2001,Dec,1,01/12/2001,,,,ST2,,1,Diatom,Thalassiosira spp.,D-Thalassiosira spp.,263
10,2001,Dec,1,01/12/2001,,,,ST3,,1,Dinoflagellate,Gyrodinium spirale,DF-Gyrodinium spirale,737
11,2001,Dec,1,01/12/2001,,,,ST4,,1,Diatom,Chaetoceros spp.,D-Chaetoceros spp.,212
12,2001,Dec,1,01/12/2001,,,,ST4,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,106
13,2001,Dec,1,01/12/2001,,,,ST4,,1,Dinoflagellate,Protoperidinium conicum,DF-Protoperidinium conicum,212
14,2001,Dec,1,01/12/2001,,,,ST4,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,212
15,2001,Dec,1,01/12/2001,,,,ST5,,1,Diatom,Navicula  spp.,D-Navicula  spp.,454
16,2001,Dec,1,01/12/2001,,,,ST5,,1,Dinoflagellate,Dinophysis miles,DF-Dinophysis miles,113
17,2001,Dec,1,01/12/2001,,,,ST6,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,232
18,2001,Dec,1,01/12/2001,,,,ST6,,1,Diatom,Navicula  spp.,D-Navicula  spp.,580
19,2001,Dec,1,01/12/2001,,,,ST6,,1,Diatom,Pleurosigma spp.,D-Pleurosigma spp.,116
20,2001,Dec,1,01/12/2001,,,,ST6,,1,Diatom,Pseudonitzschia spp.,D-Pseudonitzschia spp.,91094
21,2001,Dec,1,01/12/2001,,,,ST6,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,116
22,2001,Dec,1,01/12/2001,,,,ST6,,1,Dinoflagellate,Gyrodinium,DF-Gyrodinium,7543
23,2001,Dec,1,01/12/2001,,,,ST6,,1,Dinoflagellate,Gyrodinium spirale,DF-Gyrodinium spirale,232
24,2001,Dec,1,01/12/2001,,,,ST6,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,232
25,2001,Dec,1,01/12/2001,,,,ST6,,1,Dinoflagellate,Prorocentrum sigmoides,DF-Prorocentrum sigmoides,696
26,2001,Dec,1,01/12/2001,,,,ST6,,1,Dinoflagellate,Protoperidinium spp.,DF-Protoperidinium spp.,696
27,2001,Dec,1,01/12/2001,,,,ST7,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,112
28,2001,Dec,1,01/12/2001,,,,ST7,,1,Diatom,Navicula  spp.,D-Navicula  spp.,336
29,2001,Dec,1,01/12/2001,,,,ST7,,1,Diatom,Pseudonitzschia spp.,D-Pseudonitzschia spp.,13569
30,2001,Dec,1,01/12/2001,,,,ST7,,1,Dinoflagellate,Gyrodinium,DF-Gyrodinium,561
31,2001,Dec,1,01/12/2001,,,,ST7,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,112
32,2001,Dec,1,01/12/2001,,,,ST7,,1,Dinoflagellate,Protoperidinium spp.,DF-Protoperidinium spp.,112
33,2002,Jan,1,01/01/2002,,,,ST1,,1,Diatom,Pleurosigma spp.,D-Pleurosigma spp.,384
34,2002,Jan,1,01/01/2002,,,,ST1,,1,Diatom,Skeletonema,D-Skeletonema,36
35,2002,Jan,1,01/01/2002,,,,ST1,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,72
36,2002,Jan,1,01/01/2002,,,,ST1,,1,Dinoflagellate,Prorocentrum minimum,DF-Prorocentrum minimum,154255
37,2002,Jan,1,01/01/2002,,,,ST1,,1,Dinoflagellate,Protoperidinium pellucidum,DF-Protoperidinium pellucidum,36
38,2002,Mar,1,01/03/2002,,,,ST2,,1,Dinoflagellate,Goniodoma,DF-Goniodoma,6
39,2002,Mar,1,01/03/2002,,,,ST2,,1,Dinoflagellate,Gyrodinium spirale,DF-Gyrodinium spirale,18
40,2002,Mar,1,01/03/2002,,,,ST4,,1,Dinoflagellate,Gymnodinium,DF-Gymnodinium,34
41,2002,Mar,1,01/03/2002,,,,ST9,,1,Dinoflagellate,Protoperidinium pellucidum,DF-Protoperidinium pellucidum,5
42,2002,Apr,1,01/04/2002,,,,ST2,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,3
43,2002,Apr,1,01/04/2002,,,,ST2,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,10
44,2002,Apr,1,01/04/2002,,,,ST2,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,3
45,2002,Apr,1,01/04/2002,,,,ST2,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,3
46,2002,Apr,1,01/04/2002,,,,ST6,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,7
47,2002,Apr,1,01/04/2002,,,,ST6,,1,Dinoflagellate,Ceratium trichoceros,DF-Ceratium trichoceros,5
48,2002,Apr,1,01/04/2002,,,,ST6,,1,Dinoflagellate,Dinophysis miles,DF-Dinophysis miles,2
49,2002,Apr,1,01/04/2002,,,,ST7,,1,Diatom,Pseudonitzschia spp.,D-Pseudonitzschia spp.,2
50,2002,Apr,1,01/04/2002,,,,ST7,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,2
51,2002,Apr,1,01/04/2002,,,,ST7,,1,Dinoflagellate,Ceratium furca,DF-Ceratium furca,2
52,2002,Apr,1,01/04/2002,,,,ST7,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,2
53,2002,Jun,1,01/06/2002,,,,ST1,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,15
54,2002,Jun,1,01/06/2002,,,,ST1,,1,Diatom,Thalassiosira spp.,D-Thalassiosira spp.,8
55,2002,Jun,1,01/06/2002,,,,ST1,,1,Dinoflagellate,Scrippsiella trochoidea,DF-Scrippsiella trochoidea,4
56,2002,Jun,1,01/06/2002,,,,ST2,,1,Diatom,Bacteriastrum spp.,D-Bacteriastrum spp.,18
57,2002,Jun,1,01/06/2002,,,,ST2,,1,Diatom,Chaetoceros spp.,D-Chaetoceros spp.,476
58,2002,Jun,1,01/06/2002,,,,ST2,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,35
59,2002,Jun,1,01/06/2002,,,,ST2,,1,Diatom,Leptocylindrus spp.,D-Leptocylindrus spp.,18
60,2002,Jun,1,01/06/2002,,,,ST2,,1,Diatom,Navicula  spp.,D-Navicula  spp.,47
61,2002,Jun,1,01/06/2002,,,,ST2,,1,Diatom,Pleurosigma spp.,D-Pleurosigma spp.,6
62,2002,Jun,1,01/06/2002,,,,ST2,,1,Diatom,Pseudonitzschia spp.,D-Pseudonitzschia spp.,6
63,2002,Jun,1,01/06/2002,,,,ST2,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,29
64,2002,Jun,1,01/06/2002,,,,ST2,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,24
65,2002,Jun,1,01/06/2002,,,,ST2,,1,Diatom,Thalassiosira spp.,D-Thalassiosira spp.,41
66,2002,Jun,1,01/06/2002,,,,ST2,,1,Dinoflagellate,Odontella spp.,DF-Odontella spp.,6
67,2002,Jun,1,01/06/2002,,,,ST2,,1,Dinoflagellate,Prorocentrum lima,DF-Prorocentrum lima,6
68,2002,Jun,1,01/06/2002,,,,ST2,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,6
69,2002,Jun,1,01/06/2002,,,,ST3,,1,Diatom,Bacteriastrum spp.,D-Bacteriastrum spp.,32
70,2002,Jun,1,01/06/2002,,,,ST3,,1,Diatom,Chaetoceros spp.,D-Chaetoceros spp.,51
71,2002,Jun,1,01/06/2002,,,,ST3,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,19
72,2002,Jun,1,01/06/2002,,,,ST3,,1,Diatom,Navicula  spp.,D-Navicula  spp.,6
73,2002,Jun,1,01/06/2002,,,,ST3,,1,Diatom,Pleurosigma spp.,D-Pleurosigma spp.,13
74,2002,Jun,1,01/06/2002,,,,ST3,,1,Diatom,Pseudonitzschia spp.,D-Pseudonitzschia spp.,6
75,2002,Jun,1,01/06/2002,,,,ST3,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,76
76,2002,Jun,1,01/06/2002,,,,ST3,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,25
77,2002,Jun,1,01/06/2002,,,,ST3,,1,Diatom,Thalassiosira spp.,D-Thalassiosira spp.,32
78,2002,Jun,1,01/06/2002,,,,ST3,,1,Dinoflagellate,Protoperidinium spp.,DF-Protoperidinium spp.,6
79,2002,Jun,1,01/06/2002,,,,ST3,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,13
80,2002,Jun,1,01/06/2002,,,,ST4,,1,Diatom,Bacteriastrum spp.,D-Bacteriastrum spp.,14
81,2002,Jun,1,01/06/2002,,,,ST4,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,3
82,2002,Jun,1,01/06/2002,,,,ST4,,1,Diatom,Navicula  spp.,D-Navicula  spp.,14
83,2002,Jun,1,01/06/2002,,,,ST4,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,14
84,2002,Jun,1,01/06/2002,,,,ST4,,1,Diatom,Skeletonema,D-Skeletonema,59
85,2002,Jun,1,01/06/2002,,,,ST4,,1,Diatom,Thalassiosira spp.,D-Thalassiosira spp.,10
86,2002,Jun,1,01/06/2002,,,,ST4,,1,Dinoflagellate,Prorocentrum lima,DF-Prorocentrum lima,3
87,2002,Jun,1,01/06/2002,,,,ST4,,1,Dinoflagellate,Protoperidinium depressum,DF-Protoperidinium depressum,3
88,2002,Jun,1,01/06/2002,,,,ST4,,1,Silicoflagellate,Dictyocha,SF-Dictyocha,3
89,2002,Jun,1,01/06/2002,,,,ST5,,1,Diatom,Bacteriastrum spp.,D-Bacteriastrum spp.,15
90,2002,Jun,1,01/06/2002,,,,ST5,,1,Diatom,Chaetoceros spp.,D-Chaetoceros spp.,55
91,2002,Jun,1,01/06/2002,,,,ST5,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,5
92,2002,Jun,1,01/06/2002,,,,ST5,,1,Diatom,Leptocylindrus spp.,D-Leptocylindrus spp.,5
93,2002,Jun,1,01/06/2002,,,,ST5,,1,Diatom,Navicula  spp.,D-Navicula  spp.,5
94,2002,Jun,1,01/06/2002,,,,ST5,,1,Diatom,Pleurosigma spp.,D-Pleurosigma spp.,10
95,2002,Jun,1,01/06/2002,,,,ST5,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,5
96,2002,Jun,1,01/06/2002,,,,ST5,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,45
97,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Alexandrium spp.,DF-Alexandrium spp.,20
98,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Ceratium breve,DF-Ceratium breve,5
99,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Ceratium furca,DF-Ceratium furca,516
100,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Ceratium fusus,DF-Ceratium fusus,10
101,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Ceratium trichoceros,DF-Ceratium trichoceros,5
102,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Diplopsalis spp.,DF-Diplopsalis spp.,5
103,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Odontella spp.,DF-Odontella spp.,20
104,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,35
105,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Protoperidinium conicum,DF-Protoperidinium conicum,10
106,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Protoperidinium divergens,DF-Protoperidinium divergens,5
107,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,160
108,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Protoperidinium pallidum,DF-Protoperidinium pallidum,80
109,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Protoperidinium pellucidum,DF-Protoperidinium pellucidum,45
110,2002,Jun,1,01/06/2002,,,,ST5,,1,Dinoflagellate,Pyrophacus,DF-Pyrophacus,5
111,2002,Jun,1,01/06/2002,,,,ST6,,1,Diatom,Bacteriastrum spp.,D-Bacteriastrum spp.,14
112,2002,Jun,1,01/06/2002,,,,ST6,,1,Diatom,Chaetoceros spp.,D-Chaetoceros spp.,258
113,2002,Jun,1,01/06/2002,,,,ST6,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,3
114,2002,Jun,1,01/06/2002,,,,ST6,,1,Diatom,Guinardia,D-Guinardia,5
115,2002,Jun,1,01/06/2002,,,,ST6,,1,Diatom,Pleurosigma spp.,D-Pleurosigma spp.,11
116,2002,Jun,1,01/06/2002,,,,ST6,,1,Diatom,Pseudonitzschia spp.,D-Pseudonitzschia spp.,13
117,2002,Jun,1,01/06/2002,,,,ST6,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,11
118,2002,Jun,1,01/06/2002,,,,ST6,,1,Diatom,Skeletonema,D-Skeletonema,22
119,2002,Jun,1,01/06/2002,,,,ST6,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,26
120,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Alexandrium spp.,DF-Alexandrium spp.,1
121,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Ceratium breve,DF-Ceratium breve,2
122,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Ceratium furca,DF-Ceratium furca,133
123,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Ceratium fusus,DF-Ceratium fusus,6
124,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Dinophysis caudata,DF-Dinophysis caudata,7
125,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Odontella spp.,DF-Odontella spp.,483
126,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Prorocentrum lima,DF-Prorocentrum lima,1
127,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,6
128,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Protoperidinium spp.,DF-Protoperidinium spp.,30
129,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Protoperidinium conicum,DF-Protoperidinium conicum,30
130,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,57
131,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Protoperidinium pallidum,DF-Protoperidinium pallidum,2
132,2002,Jun,1,01/06/2002,,,,ST6,,1,Dinoflagellate,Protoperidinium pellucidum,DF-Protoperidinium pellucidum,5
133,2002,Jun,1,01/06/2002,,,,ST7,,1,Diatom,Bacteriastrum spp.,D-Bacteriastrum spp.,5
134,2002,Jun,1,01/06/2002,,,,ST7,,1,Diatom,Chaetoceros spp.,D-Chaetoceros spp.,1201
135,2002,Jun,1,01/06/2002,,,,ST7,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,19
136,2002,Jun,1,01/06/2002,,,,ST7,,1,Diatom,Navicula  spp.,D-Navicula  spp.,5
137,2002,Jun,1,01/06/2002,,,,ST7,,1,Diatom,Pseudonitzschia spp.,D-Pseudonitzschia spp.,5
138,2002,Jun,1,01/06/2002,,,,ST7,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,84
139,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Alexandrium spp.,DF-Alexandrium spp.,5
140,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Ceratium furca,DF-Ceratium furca,1987
141,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Ceratium fusus,DF-Ceratium fusus,5
142,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Ceratium trichoceros,DF-Ceratium trichoceros,14
143,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Diplopsalis spp.,DF-Diplopsalis spp.,9
144,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Gyrodinium,DF-Gyrodinium,14
145,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Odontella spp.,DF-Odontella spp.,33
146,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,33
147,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Protoperidinium spp.,DF-Protoperidinium spp.,84
148,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Protoperidinium conicum,DF-Protoperidinium conicum,37
149,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,538
150,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Protoperidinium pallidum,DF-Protoperidinium pallidum,23
151,2002,Jun,1,01/06/2002,,,,ST7,,1,Dinoflagellate,Protoperidinium pellucidum,DF-Protoperidinium pellucidum,65
152,2002,Jun,1,01/06/2002,,,,ST8,,1,Diatom,Bacteriastrum spp.,D-Bacteriastrum spp.,80
153,2002,Jun,1,01/06/2002,,,,ST8,,1,Diatom,Chaetoceros spp.,D-Chaetoceros spp.,803
154,2002,Jun,1,01/06/2002,,,,ST8,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,13
155,2002,Jun,1,01/06/2002,,,,ST8,,1,Diatom,Leptocylindrus spp.,D-Leptocylindrus spp.,30
156,2002,Jun,1,01/06/2002,,,,ST8,,1,Diatom,Navicula  spp.,D-Navicula  spp.,43
157,2002,Jun,1,01/06/2002,,,,ST8,,1,Diatom,Pleurosigma spp.,D-Pleurosigma spp.,3
158,2002,Jun,1,01/06/2002,,,,ST8,,1,Diatom,Pseudonitzschia spp.,D-Pseudonitzschia spp.,10
159,2002,Jun,1,01/06/2002,,,,ST8,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,7
160,2002,Jun,1,01/06/2002,,,,ST8,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,46
161,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Ceratium furca,DF-Ceratium furca,239
162,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Ceratium fusus,DF-Ceratium fusus,179
163,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Ceratium trichoceros,DF-Ceratium trichoceros,7
164,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Dinophysis caudata,DF-Dinophysis caudata,10
165,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Diplopsalis spp.,DF-Diplopsalis spp.,7
166,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Gyrodinium,DF-Gyrodinium,33
167,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Gyrodinium spirale,DF-Gyrodinium spirale,56
168,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Odontella spp.,DF-Odontella spp.,93
169,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,10
170,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Protoperidinium conicum,DF-Protoperidinium conicum,56
171,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Protoperidinium depressum,DF-Protoperidinium depressum,13
172,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,70
173,2002,Jun,1,01/06/2002,,,,ST8,,1,Dinoflagellate,Protoperidinium pentagonum,DF-Protoperidinium pentagonum,10
174,2002,Aug,1,01/08/2002,,,,ST1,,1,Diatom,Chaetoceros spp.,D-Chaetoceros spp.,61
175,2002,Aug,1,01/08/2002,,,,ST1,,1,Diatom,Thalassiosira spp.,D-Thalassiosira spp.,12
176,2002,Aug,1,01/08/2002,,,,ST1,,1,Dinoflagellate,Ceratium furca,DF-Ceratium furca,12
177,2002,Aug,1,01/08/2002,,,,ST1,,1,Dinoflagellate,Gyrodinium spirale,DF-Gyrodinium spirale,6
178,2002,Aug,1,01/08/2002,,,,ST3,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,11
179,2002,Aug,1,01/08/2002,,,,ST3,,1,Diatom,Pseudonitzschia spp.,D-Pseudonitzschia spp.,23
180,2002,Aug,1,01/08/2002,,,,ST3,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,34
181,2002,Aug,1,01/08/2002,,,,ST3,,1,Diatom,Skeletonema,D-Skeletonema,1279
182,2002,Aug,1,01/08/2002,,,,ST3,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,39
183,2002,Aug,1,01/08/2002,,,,ST3,,1,Dinoflagellate,Ceratium furca,DF-Ceratium furca,6
184,2002,Aug,1,01/08/2002,,,,ST3,,1,Dinoflagellate,Ceratium trichoceros,DF-Ceratium trichoceros,6
185,2002,Aug,1,01/08/2002,,,,ST3,,1,Dinoflagellate,Dinophysis caudata,DF-Dinophysis caudata,11
186,2002,Aug,1,01/08/2002,,,,ST3,,1,Dinoflagellate,Gymnodinium,DF-Gymnodinium,6
187,2002,Aug,1,01/08/2002,,,,ST3,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,17
188,2002,Aug,1,01/08/2002,,,,ST3,,1,Dinoflagellate,Protoperidinium conicum,DF-Protoperidinium conicum,6
189,2002,Aug,1,01/08/2002,,,,ST5,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,7
190,2002,Aug,1,01/08/2002,,,,ST5,,1,Diatom,Navicula  spp.,D-Navicula  spp.,20
191,2002,Aug,1,01/08/2002,,,,ST5,,1,Diatom,Pleurosigma spp.,D-Pleurosigma spp.,47
192,2002,Aug,1,01/08/2002,,,,ST5,,1,Dinoflagellate,Alexandrium spp.,DF-Alexandrium spp.,7
193,2002,Aug,1,01/08/2002,,,,ST5,,1,Dinoflagellate,Ceratium furca,DF-Ceratium furca,140
194,2002,Aug,1,01/08/2002,,,,ST5,,1,Dinoflagellate,Ceratium fusus,DF-Ceratium fusus,13
195,2002,Aug,1,01/08/2002,,,,ST5,,1,Dinoflagellate,Dinophysis caudata,DF-Dinophysis caudata,7
196,2002,Aug,1,01/08/2002,,,,ST5,,1,Dinoflagellate,Gyrodinium,DF-Gyrodinium,20
197,2002,Aug,1,01/08/2002,,,,ST5,,1,Dinoflagellate,Gyrodinium spirale,DF-Gyrodinium spirale,20
198,2002,Aug,1,01/08/2002,,,,ST5,,1,Dinoflagellate,Prorocentrum lima,DF-Prorocentrum lima,13
199,2002,Aug,1,01/08/2002,,,,ST5,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,47
200,2002,Aug,1,01/08/2002,,,,ST5,,1,Dinoflagellate,Protoperidinium pallidum,DF-Protoperidinium pallidum,7
201,2002,Aug,1,01/08/2002,,,,ST5,,1,Dinoflagellate,Protoperidinium pellucidum,DF-Protoperidinium pellucidum,7
202,2002,Aug,1,01/08/2002,,,,ST6,,1,Diatom,Thalassiosira spp.,D-Thalassiosira spp.,9
203,2002,Aug,1,01/08/2002,,,,ST6,,1,Dinoflagellate,Ceratium furca,DF-Ceratium furca,496
204,2002,Aug,1,01/08/2002,,,,ST6,,1,Dinoflagellate,Ceratium fusus,DF-Ceratium fusus,52
205,2002,Aug,1,01/08/2002,,,,ST6,,1,Dinoflagellate,Dinophysis caudata,DF-Dinophysis caudata,5
206,2002,Aug,1,01/08/2002,,,,ST6,,1,Dinoflagellate,Goniodoma,DF-Goniodoma,14
207,2002,Aug,1,01/08/2002,,,,ST6,,1,Dinoflagellate,Gonyaulax,DF-Gonyaulax,36
208,2002,Aug,1,01/08/2002,,,,ST6,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,9
209,2002,Aug,1,01/08/2002,,,,ST6,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,5
210,2002,Aug,1,01/08/2002,,,,ST6,,1,Dinoflagellate,Protoperidinium pallidum,DF-Protoperidinium pallidum,37
211,2002,Aug,1,01/08/2002,,,,ST7,,1,Diatom,Navicula  spp.,D-Navicula  spp.,24
212,2002,Aug,1,01/08/2002,,,,ST7,,1,Diatom,Pleurosigma spp.,D-Pleurosigma spp.,10
213,2002,Aug,1,01/08/2002,,,,ST7,,1,Dinoflagellate,Ceratium furca,DF-Ceratium furca,5
214,2002,Aug,1,01/08/2002,,,,ST7,,1,Dinoflagellate,Ceratium fusus,DF-Ceratium fusus,5
215,2002,Aug,1,01/08/2002,,,,ST7,,1,Dinoflagellate,Gyrodinium,DF-Gyrodinium,24
216,2002,Aug,1,01/08/2002,,,,ST7,,1,Dinoflagellate,Gyrodinium spirale,DF-Gyrodinium spirale,19
217,2002,Aug,1,01/08/2002,,,,ST7,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,5
218,2002,Aug,1,01/08/2002,,,,ST8,,1,Diatom,Navicula  spp.,D-Navicula  spp.,5
219,2002,Aug,1,01/08/2002,,,,ST8,,1,Dinoflagellate,Ceratium furca,DF-Ceratium furca,3078
220,2002,Aug,1,01/08/2002,,,,ST8,,1,Dinoflagellate,Ceratium fusus,DF-Ceratium fusus,143
221,2002,Aug,1,01/08/2002,,,,ST8,,1,Dinoflagellate,Dinophysis caudata,DF-Dinophysis caudata,26
222,2002,Aug,1,01/08/2002,,,,ST8,,1,Dinoflagellate,Goniodoma,DF-Goniodoma,21
223,2002,Aug,1,01/08/2002,,,,ST8,,1,Dinoflagellate,Gonyaulax,DF-Gonyaulax,21
224,2002,Aug,1,01/08/2002,,,,ST8,,1,Dinoflagellate,Prorocentrum lima,DF-Prorocentrum lima,42
225,2002,Aug,1,01/08/2002,,,,ST8,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,196
226,2002,Aug,1,01/08/2002,,,,ST8,,1,Dinoflagellate,Prorocentrum sigmoides,DF-Prorocentrum sigmoides,5
227,2002,Aug,1,01/08/2002,,,,ST8,,1,Dinoflagellate,Protoperidinium conicum,DF-Protoperidinium conicum,16
228,2002,Aug,1,01/08/2002,,,,ST8,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,26
229,2002,Aug,1,01/08/2002,,,,ST8,,1,Dinoflagellate,Protoperidinium pallidum,DF-Protoperidinium pallidum,16
